DRIVER_NAME,location,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,skew_S3,Total_Lap_Num,cnt_CROSSING_FINISH_LINE_IN_PIT
Alex LYNN,Newyork2,0.0,DS Virgin Racing,99.31401869158879,20.520327926864677,108.0,111.0,13.6,-2.37905978865295,30943.747663551403,8077.884150034959,28959.0,56997.0,0.0,0.9835713381669562,26512.149532710282,7911.106109962716,24434.0,54272.0,0.0,1.7797278595434975,37339.897196261685,63979.23759151259,25023.0,569105.0,24424.0,7.311668427954016,42.0,6
Alex LYNN,Newyork2,3.0,DS Virgin Racing,83.89999999999999,38.04247626009642,104.5,107.2,40.0,-1.7222406695752392,40534.0,18352.652315128733,30371.0,61720.0,29511.0,1.7277730810440115,26828.666666666668,2420.0199034994216,25680.999999999996,29609.0,25195.999999999996,1.6541156122763592,28306.333333333332,5165.765899973917,25713.0,34255.0,24951.0,1.6897482214450084,3.0,0
Alex LYNN,Paris,0.0,DS Virgin Racing,98.01777777777778,21.935736466599078,107.8,112.3,11.7,-2.779157495694015,19980.544444444444,5954.567847527769,17796.0,44378.0,12892.0,3.152011275658659,26690.9,3845.055631601753,24908.0,42223.0,24309.0,2.768461415136889,41004.1,85983.7659275271,21349.0,539435.0,20332.0,4.8113579964791136,49.0,5
Alex LYNN,Paris,3.0,DS Virgin Racing,83.0,30.398026251715752,87.0,111.2,50.8,-0.58189058178505,27781.0,14167.801770211214,22538.0,43823.0,16982.0,1.4372324340597193,30183.666666666668,5161.16327326828,30965.999999999996,34909.0,24676.0,-0.6664409151356271,25595.333333333332,4948.327629950685,25945.999999999996,30359.0,20480.999999999996,-0.3172941417638871,3.0,0
Alex LYNN,Punta,0.0,DS Virgin Racing,115.52399999999999,25.051891227092096,126.9,134.4,15.6,-2.5683201477923943,41882.46666666667,82216.18922173505,22453.0,568217.0,20751.0,5.230108840310114,29126.24,6056.801445683391,26794.0,70455.0,25570.0,4.744585487143932,31524.733333333334,4382.744935673438,29493.000000000004,51170.0,27857.0,2.454719775328774,37.0,4
Alex LYNN,Punta,2.0,DS Virgin Racing,91.76666666666667,42.788861478972144,99.65,135.2,39.1,-0.40466758597472824,73915.5,78867.28058136656,25521.0,182503.0,20703.0,0.9766500898023248,31153.833333333332,5008.927127306471,31515.5,36832.0,25630.0,-0.10091801114636986,35832.5,8271.522296409532,36018.0,50340.0,27774.0,1.0734816054518068,3.0,1
Alex LYNN,Rome,0.0,DS Virgin Racing,86.54499999999999,25.832318755924568,99.85,106.1,19.4,-1.8097403085658665,32707.775,6600.475699591466,31514.5,44123.0,0.0,-2.8578540881099377,31650.15,6082.012569865341,30551.5,39661.0,0.0,-3.5309117515925426,69842.15,97171.69294935428,39659.5,471525.0,37561.0,3.441221146366746,15.0,4
Alex LYNN,Rome,4.0,DS Virgin Racing,71.39999999999999,42.802336384828344,85.2,105.6,23.4,-1.3000394047192418,41656.0,12938.527273225496,38628.0,55840.0,30500.0,0.9954537247227662,34732.333333333336,4900.8358810853215,36397.0,38584.0,29215.999999999996,-1.3521613439727154,45168.333333333336,7015.989476426924,45865.0,51810.0,37830.0,-0.44243071425164204,3.0,0
Alex LYNN,Santiago,0.0,DS Virgin Racing,91.66724137931034,25.659144862280982,103.4,113.0,15.2,-1.7340998663520193,30269.793103448275,20354.95038779943,23064.0,144169.0,21971.0,4.031266827070589,31867.51724137931,11182.115611651005,27437.0,76553.0,25639.0,3.268387288520072,57288.89655172414,83025.11924262601,33703.0,522251.0,31077.0,4.482142237502146,26.0,7
Alex LYNN,Santiago,3.0,DS Virgin Racing,88.63333333333333,22.721208888026474,87.5,111.9,66.5,0.22390142902629395,35826.333333333336,18952.717122706534,27816.0,57469.0,22194.0,1.5621748009417988,32519.666666666668,5980.680591147912,35596.0,36336.0,25627.0,-1.7022669045069885,36599.666666666664,4606.308319395625,37454.0,40719.0,31625.999999999996,-0.8059061423475117,3.0,0
Alex LYNN,Zurich,0.0,DS Virgin Racing,104.3730769230769,21.266971362398337,113.45,122.2,17.1,-2.7219045028173685,28681.28205128205,8485.861879708616,26274.0,86471.0,23750.0,4.971483443949434,32964.05128205128,4814.672339588202,30869.0,58664.0,29548.0,3.630576067500535,36391.179487179485,72987.55888750477,20877.5,463298.0,19322.0,5.0019458454547205,38.0,4
Alex LYNN,Zurich,3.0,DS Virgin Racing,100.43333333333332,19.924189653115977,99.3,120.9,81.1,0.25514204393124734,32970.333333333336,10674.875752594657,29932.0,44835.0,24144.0,1.177051084227067,35382.666666666664,5090.610212276454,36571.0,39774.0,29803.0,-0.9932210586393018,22365.666666666668,2694.9761285275504,22893.0,24758.000000000004,19445.999999999996,-0.8468138127502952,3.0,0
Alex LYNN,newyork2,0.0,DS Virgin Racing,100.07894736842103,13.381977056530939,104.5,106.3,60.5,-2.76681144274582,29613.57894736842,10974.750416376419,26649.0,74468.0,26174.0,4.2205297431817,20057.78947368421,5850.798697413954,18667.0,44206.0,18483.0,4.351350861921914,22415.263157894737,2436.985930796603,21813.0,32377.000000000004,21490.0,4.215454330684675,19.0,0
Alex LYNN,newyork2,4.0,DS Virgin Racing,91.95294117647059,27.93875260384442,102.8,112.4,4.6,-2.2878076223069894,29773.764705882353,9450.84567994719,26317.0,63876.0,24413.0,3.3315823899956443,19043.470588235294,1263.7812368863063,18442.0,21820.0,17502.0,1.0455686513627025,112598.94117647059,356199.7415649453,21638.0,1493515.0,20323.0,4.1098534051341264,14.0,2
Alex Lynn,Hong Kong,0.0,DS Virgin Racing,96.63953488372093,17.78284539253228,102.1,103.3,3.8,-4.160790957310384,20914.162790697676,8782.795267508145,18746.0,59930.0,18503.0,4.354276888977934,23855.86046511628,7764.717793238714,21959.0,65364.0,21603.0,4.7004588457751995,63401.83720930233,244419.37463769602,24914.0,1628515.0,24665.0,6.552513125814066,43.0,2
Alex Lynn,Hong Kong,1.0,DS Virgin Racing,84.20434782608696,23.60948920828929,90.1,105.1,13.7,-1.9289732436591827,26371.565217391304,31059.61125867638,19392.5,224951.0,17992.0,6.1266420616959945,24392.217391304348,2424.9126803343606,23808.0,29495.0,21250.999999999996,0.4900404864653419,51021.02173913043,85727.7312675916,27512.0,445229.0,24347.0,3.796857705948401,24.0,4
Alex Lynn,Hong Kong2,0.0,DS Virgin Racing,100.35333333333331,7.2579611462173,102.4,103.8,65.7,-4.047011086696143,18688.71111111111,1022.6230893287528,18648.0,22680.0,13556.0,-1.511798037827255,22456.977777777778,2779.9889509990444,21965.0,40556.0,21570.0,6.555921537883686,26056.733333333334,5611.144338805507,24800.0,59334.0,24458.0,5.273080611969227,45.0,1
Alex Lynn,Hong Kong2,3.0,DS Virgin Racing,78.9346153846154,26.871604973394383,86.85,107.4,13.4,-1.325201433999489,22630.576923076922,6276.209596073584,20390.0,42653.0,17684.0,1.9181212173022117,25008.69230769231,2600.7439976934406,25496.5,28745.0,20717.0,-0.4561434178540724,67016.15384615384,104445.76353981707,28395.0,458761.0,23950.0,2.913436131306588,23.0,5
Andr̩ LOTTERER,Berlin,0.0,TECHEETAH,108.28072289156626,20.013876026831895,115.6,123.0,8.0,-3.131834513864465,27752.048192771083,4556.582954052447,26410.0,58719.0,24909.0,4.6366382483307165,23870.14457831325,3408.477555615539,22956.0,45415.0,21503.0,4.162334323947429,42281.89156626506,112079.30438451772,24590.0,1023590.0,23112.0,8.43080908515055,45.0,5
Andr̩ LOTTERER,Berlin,1.0,TECHEETAH,85.5,42.15080070413847,96.3,121.2,39.0,-1.0773081648301646,72571.0,75818.73329857206,32524.0,160016.0,25173.0,1.7137518122478237,27435.0,4794.926798189937,29729.0,30651.999999999996,21924.0,-1.6601275434545015,26219.333333333332,3048.283834116066,25642.0,29515.0,23500.999999999996,0.8217106732876317,3.0,0
